difficulty,rank,family,items,packages,enchantment,present,prevalence,medianPresent,medianAll,min,max
HARD,BOSS,AXES,10,4,BANE_OF_ARTHROPODS,2,0.2,4.5,0.0,2,7
HARD,BOSS,AXES,10,4,BLAST_PROTECTION,1,0.1,5,0.0,5,5
HARD,BOSS,AXES,10,4,CRITICAL_STRIKES,1,0.1,2,0.0,2,2
HARD,BOSS,AXES,10,4,FIRE_ASPECT,1,0.1,1,0.0,1,1
HARD,BOSS,AXES,10,4,FIRE_PROTECTION,2,0.2,6.0,0.0,5,7
HARD,BOSS,AXES,10,4,LOUD_STRIKES,6,0.6,2.0,1.5,1,3
HARD,BOSS,AXES,10,4,PROJECTILE_PROTECTION,4,0.4,5.0,0.0,4,5
HARD,BOSS,AXES,10,4,PROTECTION,4,0.4,7.0,0.0,3,7
HARD,BOSS,AXES,10,4,SHARPNESS,8,0.8,4.5,4.0,3,10
HARD,BOSS,AXES,10,4,SMITE,1,0.1,4,0.0,4,4
HARD,BOSS,AXES,10,4,UNBREAKING,8,0.8,4.0,4.0,2,8
HARD,BOSS,BOOTS,30,14,BANE_OF_ARTHROPODS,5,0.1667,5,0.0,5,7
HARD,BOSS,BOOTS,30,14,BLAST_PROTECTION,10,0.3333,4.0,0.0,1,6
HARD,BOSS,BOOTS,30,14,CRITICAL_STRIKES,1,0.0333,2,0.0,2,2
HARD,BOSS,BOOTS,30,14,DEPTH_STRIDER,2,0.0667,2.5,0.0,2,3
HARD,BOSS,BOOTS,30,14,FEATHER_FALLING,9,0.3,5,0.0,1,8
HARD,BOSS,BOOTS,30,14,FIRE_PROTECTION,12,0.4,4.0,0.0,1,7
HARD,BOSS,BOOTS,30,14,FLAMETHROWER,1,0.0333,2,0.0,2,2
HARD,BOSS,BOOTS,30,14,FROST_WALKER,2,0.0667,1.5,0.0,1,2
HARD,BOSS,BOOTS,30,14,HUNTER,1,0.0333,2,0.0,2,2
HARD,BOSS,BOOTS,30,14,LOUD_STRIKES,10,0.3333,2.0,0.0,1,2
HARD,BOSS,BOOTS,30,14,MENDING,2,0.0667,1.0,0.0,1,1
HARD,BOSS,BOOTS,30,14,PROJECTILE_PROTECTION,12,0.4,3.5,0.0,1,6
HARD,BOSS,BOOTS,30,14,PROTECTION,27,0.9,4,4.0,2,8
HARD,BOSS,BOOTS,30,14,SHARPNESS,17,0.5667,6,3.0,2,8
HARD,BOSS,BOOTS,30,14,SMITE,6,0.2,5.5,0.0,3,7
HARD,BOSS,BOOTS,30,14,THORNS,7,0.2333,2,0.0,1,3
HARD,BOSS,BOOTS,30,14,UNBREAKING,18,0.6,4.0,2.0,1,5
HARD,BOSS,BOWS,21,13,FLAME,12,0.5714,2.0,1,1,8
HARD,BOSS,BOWS,21,13,INFINITY,8,0.381,1.0,0,1,6
HARD,BOSS,BOWS,21,13,MENDING,3,0.1429,1,0,1,1
HARD,BOSS,BOWS,21,13,POWER,21,1.0,5,5,2,7
HARD,BOSS,BOWS,21,13,PROTECTION,1,0.0476,3,0,3,3
HARD,BOSS,BOWS,21,13,PUNCH,11,0.5238,2,1,1,4
HARD,BOSS,BOWS,21,13,SMITE,1,0.0476,5,0,5,5
HARD,BOSS,BOWS,21,13,UNBREAKING,19,0.9048,4,3,2,5
HARD,BOSS,CHESTPLATES,30,14,BANE_OF_ARTHROPODS,7,0.2333,5,0.0,3,6
HARD,BOSS,CHESTPLATES,30,14,BLAST_PROTECTION,13,0.4333,4,0.0,1,8
HARD,BOSS,CHESTPLATES,30,14,CRITICAL_STRIKES,1,0.0333,2,0.0,2,2
HARD,BOSS,CHESTPLATES,30,14,FEATHER_FALLING,4,0.1333,3.0,0.0,3,5
HARD,BOSS,CHESTPLATES,30,14,FIRE_PROTECTION,13,0.4333,4,0.0,1,6
HARD,BOSS,CHESTPLATES,30,14,HUNTER,1,0.0333,2,0.0,2,2
HARD,BOSS,CHESTPLATES,30,14,LOUD_STRIKES,11,0.3667,2,0.0,1,2
HARD,BOSS,CHESTPLATES,30,14,MENDING,2,0.0667,1.0,0.0,1,1
HARD,BOSS,CHESTPLATES,30,14,PROJECTILE_PROTECTION,12,0.4,4.0,0.0,1,6
HARD,BOSS,CHESTPLATES,30,14,PROTECTION,29,0.9667,5,4.5,2,8
HARD,BOSS,CHESTPLATES,30,14,SHARPNESS,15,0.5,5,1.0,2,7
HARD,BOSS,CHESTPLATES,30,14,SMITE,8,0.2667,5.5,0.0,3,8
HARD,BOSS,CHESTPLATES,30,14,THORNS,11,0.3667,3,0.0,1,7
HARD,BOSS,CHESTPLATES,30,14,UNBREAKING,18,0.6,4.0,2.0,1,7
